Date,Open,High,Low,Close,Volume,Market Cap
12-Mar-20,6.58,6.59,3.96,3.96,"1,769,379,393","461,059,598"
11-Mar-20,6.81,6.87,6.21,6.58,"1,481,692,354","765,026,176"
10-Mar-20,6.94,6.94,6.65,6.81,"1,364,787,040","792,216,405"
9-Mar-20,6.48,7.01,6.44,6.93,"2,021,714,081","805,535,826"
8-Mar-20,7.82,7.82,6.41,6.49,"1,587,136,600","755,313,500"
7-Mar-20,8.2,8.2,7.81,7.82,"1,346,672,683","909,500,479"
6-Mar-20,8.2,8.3,8,8.2,"1,574,406,337","953,210,278"
5-Mar-20,7.95,8.41,7.95,8.2,"1,723,095,649","953,664,876"
4-Mar-20,8.48,8.52,7.76,7.95,"1,806,626,129","924,996,733"
3-Mar-20,8.4,8.59,8.2,8.5,"1,872,178,655","988,367,178"
2-Mar-20,7.76,8.59,7.72,8.4,"1,891,308,432","977,132,189"
1-Mar-20,7.4,7.9,7.4,7.76,"1,537,094,857","902,890,982"
29-Feb-20,7.43,7.65,7.36,7.41,"1,233,126,529","861,588,474"
28-Feb-20,7.68,7.84,7.23,7.44,"1,543,271,140","865,086,164"
27-Feb-20,7.68,8.04,7.37,7.68,"1,837,427,407","893,833,376"
26-Feb-20,9.25,9.33,7.42,7.68,"2,112,171,652","893,319,146"
25-Feb-20,9.34,9.41,9.04,9.26,"1,633,614,476","1,076,972,819"
24-Feb-20,9.73,9.74,9.08,9.34,"1,691,831,980","1,086,726,640"
23-Feb-20,9.52,9.9,9.48,9.73,"1,745,180,317","1,132,269,854"
22-Feb-20,9.45,9.72,9.36,9.52,"1,724,873,520","1,107,584,713"
21-Feb-20,8.89,9.84,8.82,9.43,"2,112,160,851","1,097,217,221"
20-Feb-20,8.87,9.02,8.46,8.9,"1,908,879,598","1,035,393,208"
19-Feb-20,9.82,9.83,8.78,8.88,"1,807,922,284","1,032,750,135"
18-Feb-20,9.61,9.89,9.22,9.82,"2,025,728,374","1,142,471,879"
17-Feb-20,9.6,9.79,8.8,9.61,"2,840,284,893","1,117,766,571"
16-Feb-20,10.4,10.64,9.03,9.64,"2,727,702,320","1,120,733,694"
15-Feb-20,11.98,12.05,9.95,10.39,"2,720,972,975","1,208,279,705"
14-Feb-20,12.04,12.05,11.71,11.98,"2,197,029,671","1,393,522,720"
13-Feb-20,12.24,13.02,11.69,12.04,"3,267,500,938","1,400,650,651"
12-Feb-20,11.94,12.43,11.92,12.24,"2,558,687,675","1,424,014,659"
11-Feb-20,11.84,12.09,11.64,11.95,"2,623,748,665","1,389,657,190"
10-Feb-20,11.72,12.04,11.48,11.84,"2,949,720,160","1,377,034,358"
9-Feb-20,11.67,12.02,11.42,11.71,"2,256,308,242","1,362,041,153"
8-Feb-20,11.7,11.91,11.21,11.67,"2,458,728,176","1,357,700,662"
7-Feb-20,12.12,12.21,11.43,11.7,"2,864,925,900","1,361,189,900"
6-Feb-20,12.34,13.15,11.47,12.1,"3,578,970,064","1,407,232,210"
5-Feb-20,11.43,12.57,11.37,12.34,"2,630,503,881","1,435,093,288"
4-Feb-20,11.79,11.87,11.21,11.43,"2,163,865,570","1,329,760,411"
3-Feb-20,11.38,12.16,11.34,11.79,"2,572,871,754","1,371,619,968"
2-Feb-20,11.52,11.73,11.2,11.39,"2,230,362,843","1,324,661,545"
1-Feb-20,11.32,11.75,11.13,11.54,"2,507,607,885","1,342,452,894"
31-Jan-20,12.27,12.27,10.83,11.3,"2,910,829,193","1,314,450,265"
30-Jan-20,12.29,12.61,11.73,12.27,"3,429,768,630","1,427,664,926"
29-Jan-20,11.49,12.74,11.39,12.32,"4,198,264,074","1,432,957,978"
28-Jan-20,10.42,11.62,10.35,11.53,"3,491,046,321","1,341,132,567"
27-Jan-20,9.14,11,9.14,10.42,"3,089,196,032","1,212,558,560"
26-Jan-20,8.43,9.28,8.27,9.14,"1,685,344,365","1,063,542,379"
25-Jan-20,8.62,8.62,8.21,8.43,"1,429,389,665","980,923,326"
24-Jan-20,8.47,8.81,7.96,8.62,"1,962,297,204","1,002,989,145"
23-Jan-20,9.34,9.36,8.27,8.46,"1,878,541,112","984,412,223"
22-Jan-20,8.95,9.47,8.94,9.34,"1,893,350,417","1,086,129,263"
21-Jan-20,8.67,9.1,8.56,8.95,"1,792,016,776","1,040,492,638"
20-Jan-20,8.51,9.08,8.13,8.67,"2,181,334,260","1,008,869,825"
19-Jan-20,8.32,9.36,7.9,8.51,"3,071,743,046","989,704,405"
18-Jan-20,9.58,9.72,8.19,8.33,"3,191,984,633","968,791,719"
17-Jan-20,8.37,11.91,8.13,9.52,"4,699,240,278","1,107,259,104"
16-Jan-20,7.98,8.51,7.34,8.38,"2,591,162,120","974,440,774"
15-Jan-20,6.8,8.07,6.67,7.98,"3,050,686,528","927,726,082"
14-Jan-20,5.5,6.93,5.49,6.81,"2,077,666,220","792,063,090"
13-Jan-20,5.56,5.59,5.36,5.5,"817,167,779","639,356,726"
12-Jan-20,5.58,5.64,5.4,5.56,"1,012,635,723","647,179,998"
11-Jan-20,5.33,5.77,5.32,5.58,"1,355,984,730","649,040,790"
10-Jan-20,5.22,5.38,4.94,5.34,"1,230,740,496","620,618,601"
9-Jan-20,4.97,5.21,4.93,5.21,"1,014,858,991","606,291,870"
8-Jan-20,4.84,5.06,4.8,4.97,"998,712,344","578,472,051"
7-Jan-20,5.05,5.06,4.76,4.83,"1,006,600,642","562,327,947"
6-Jan-20,4.91,5.12,4.89,5.05,"935,281,051","586,930,738"
5-Jan-20,4.77,5.01,4.77,4.91,"929,077,856","570,853,943"
4-Jan-20,4.57,4.73,4.54,4.73,"771,746,505","549,794,618"
3-Jan-20,4.25,4.63,4.2,4.58,"853,611,122","532,277,192"
2-Jan-20,4.5,4.51,4.2,4.26,"692,082,812","495,016,399"
1-Jan-20,4.5,4.56,4.48,4.5,"578,070,570","523,734,647"
31-Dec-19,4.64,4.74,4.44,4.5,"855,008,050","523,055,624"
30-Dec-19,4.66,4.79,4.58,4.64,"889,697,901","539,743,657"
29-Dec-19,4.42,4.75,4.41,4.66,"864,464,994","541,875,099"
28-Dec-19,4.52,4.56,4.41,4.42,"702,721,446","513,827,574"
27-Dec-19,4.51,4.63,4.43,4.52,"1,051,285,597","525,868,931"
26-Dec-19,4.08,4.62,4.08,4.51,"1,038,713,351","523,599,745"
25-Dec-19,3.97,4.11,3.95,4.08,"651,227,271","473,875,245"
24-Dec-19,4.01,4.07,3.93,3.96,"650,962,000","460,349,728"
23-Dec-19,4.2,4.24,3.98,4.01,"716,022,188","465,487,882"
22-Dec-19,4.1,4.24,4.07,4.2,"738,381,970","487,997,539"
21-Dec-19,4.06,4.16,4.02,4.1,"751,856,618","476,147,355"
20-Dec-19,3.77,4.12,3.74,4.06,"699,804,591","471,440,326"
19-Dec-19,3.78,3.81,3.66,3.77,"545,993,350","436,769,052"
18-Dec-19,3.48,3.79,3.43,3.78,"741,670,263","438,001,127"
17-Dec-19,3.7,3.72,3.43,3.47,"560,517,229","402,637,425"
16-Dec-19,3.82,3.86,3.66,3.7,"555,505,101","428,910,253"
15-Dec-19,3.82,3.86,3.74,3.82,"460,833,864","443,056,206"
14-Dec-19,3.86,3.88,3.78,3.82,"452,726,314","442,700,190"
13-Dec-19,3.84,3.89,3.82,3.86,"511,254,438","447,311,461"
12-Dec-19,3.78,3.85,3.76,3.84,"566,866,698","444,807,008"
11-Dec-19,3.8,3.84,3.77,3.78,"740,021,397","437,462,350"
10-Dec-19,3.82,3.82,3.74,3.8,"437,552,956","440,290,052"
9-Dec-19,3.92,3.94,3.81,3.82,"437,567,031","441,882,220"
8-Dec-19,3.89,3.97,3.87,3.92,"432,413,867","454,012,573"
7-Dec-19,3.9,3.94,3.88,3.89,"443,951,607","450,160,871"
6-Dec-19,3.82,3.91,3.8,3.89,"480,712,620","450,488,299"
5-Dec-19,3.78,3.94,3.76,3.81,"518,444,076","441,107,178"
4-Dec-19,3.85,3.88,3.74,3.78,"499,945,124","437,208,469"
3-Dec-19,3.86,3.93,3.81,3.85,"439,965,460","444,691,169"
2-Dec-19,3.94,3.98,3.83,3.87,"476,342,423","446,985,545"
1-Dec-19,3.95,4.02,3.85,3.94,"510,987,606","455,447,008"
30-Nov-19,4.1,4.14,3.91,3.96,"485,334,729","457,318,209"
29-Nov-19,3.96,4.11,3.95,4.1,"535,165,008","473,035,113"
28-Nov-19,3.96,4.04,3.92,3.95,"517,442,386","456,569,601"
27-Nov-19,3.89,4.03,3.74,3.96,"598,461,972","457,110,849"
26-Nov-19,3.8,3.92,3.78,3.9,"480,595,473","449,861,590"
25-Nov-19,3.76,3.95,3.58,3.79,"681,165,688","437,363,049"
24-Nov-19,4.05,4.05,3.76,3.76,"573,155,295","433,974,267"
23-Nov-19,3.89,4.07,3.84,4.05,"664,470,921","466,738,503"
22-Nov-19,4.18,4.23,3.61,3.89,"834,882,911","448,941,757"
21-Nov-19,4.37,4.42,4.11,4.18,"653,833,319","481,972,740"
20-Nov-19,4.42,4.49,4.35,4.37,"664,823,714","503,568,843"
19-Nov-19,4.44,4.57,4.32,4.42,"778,985,434","509,770,187"
