Date,Open,High,Low,Close,Volume,Market Cap
12-Mar-20,48.45,48.56,30.63,30.93,"5,417,383,296","1,988,180,694"
11-Mar-20,50.26,50.61,46.24,48.46,"3,807,551,814","3,114,857,126"
10-Mar-20,50.48,51.25,49.4,50.26,"3,945,792,927","3,229,716,140"
9-Mar-20,51.64,52.31,47.28,50.17,"5,097,423,294","3,223,665,284"
8-Mar-20,60.58,60.61,51.73,51.73,"4,523,736,331","3,323,571,636"
7-Mar-20,63.02,63.76,60.5,60.55,"4,258,036,532","3,889,681,824"
6-Mar-20,62.05,63.77,61.46,63.03,"4,766,934,524","4,048,469,921"
5-Mar-20,60.4,63.14,60.4,62.05,"4,712,202,709","3,985,045,689"
4-Mar-20,61.14,61.57,59.36,60.38,"4,429,853,608","3,877,791,382"
3-Mar-20,61.02,62.35,60.01,61.14,"5,412,760,345","3,926,290,829"
2-Mar-20,57.98,61.94,57.55,61,"5,309,970,238","3,916,306,949"
1-Mar-20,58.53,60.12,56.65,57.96,"4,317,287,191","3,720,790,355"
29-Feb-20,59.75,61.38,58.39,58.54,"4,168,117,352","3,758,049,404"
28-Feb-20,61.44,63.17,57.84,59.76,"5,266,399,749","3,835,945,103"
27-Feb-20,61.03,64.62,57.8,61.51,"5,649,302,854","3,947,440,769"
26-Feb-20,71.18,71.86,58.58,61.01,"6,518,313,483","3,915,328,585"
25-Feb-20,75.5,75.81,70.07,71.18,"5,755,711,246","4,567,178,980"
24-Feb-20,79.56,79.56,72.38,75.54,"6,355,612,214","4,846,065,100"
23-Feb-20,75.07,79.8,74.98,79.54,"5,702,486,428","5,102,126,285"
22-Feb-20,73.49,76.49,72.57,75.13,"5,547,090,434","4,819,103,854"
21-Feb-20,69.57,74.94,68.91,73.45,"5,579,449,656","4,710,680,779"
20-Feb-20,70.98,72.17,67.46,69.62,"5,500,324,693","4,464,832,282"
19-Feb-20,77.08,78.2,70.54,71.14,"5,298,677,185","4,561,234,455"
18-Feb-20,73.19,78.01,70.89,77.04,"5,600,214,717","4,938,917,809"
17-Feb-20,74.97,75.38,69.44,73.25,"5,593,944,695","4,695,804,838"
16-Feb-20,76.73,80.41,69.58,75.15,"6,186,098,306","4,817,137,104"
15-Feb-20,83.03,83.38,76.1,76.51,"5,612,667,760","4,903,772,881"
14-Feb-20,80.38,83.46,79.43,82.99,"5,382,846,670","5,318,240,171"
13-Feb-20,81.23,83.69,78.58,80.4,"6,579,062,946","5,151,873,617"
12-Feb-20,76.49,82.27,76.45,81.3,"5,701,884,854","5,208,558,724"
11-Feb-20,74.35,76.63,72.85,76.6,"4,742,120,918","4,906,933,361"
10-Feb-20,77.14,77.56,73.12,74.34,"5,373,709,984","4,761,554,712"
9-Feb-20,76.45,78.2,75.69,77.09,"5,145,711,108","4,937,660,994"
8-Feb-20,74.4,77.42,72.14,76.47,"5,496,860,399","4,897,092,475"
7-Feb-20,73.47,74.96,73.22,74.36,"5,051,951,258","4,761,261,677"
6-Feb-20,72.53,74.66,71.11,73.39,"5,463,272,394","4,698,795,737"
5-Feb-20,68.11,73.18,67.88,72.49,"5,169,585,841","4,640,906,808"
4-Feb-20,69.77,70.33,66.9,68.2,"4,449,652,117","4,365,253,454"
3-Feb-20,69.99,72.39,68.97,69.78,"4,965,069,690","4,466,102,181"
2-Feb-20,70.8,73.25,68.13,70.23,"5,482,993,030","4,494,447,999"
1-Feb-20,67.91,72.28,67.66,70.82,"6,009,767,449","4,531,596,557"
31-Jan-20,68.18,69.38,65.79,67.88,"5,718,104,791","4,342,918,713"
30-Jan-20,60.01,69.74,58.78,68.16,"6,042,169,957","4,360,322,858"
29-Jan-20,60.66,62.25,59.78,60.08,"3,894,445,882","3,842,950,242"
28-Jan-20,58.77,61.15,57.76,60.67,"4,220,742,210","3,880,511,637"
27-Jan-20,56.28,59.58,56.08,58.76,"3,832,184,228","3,758,010,753"
26-Jan-20,53.69,56.48,53.3,56.21,"3,283,750,798","3,594,505,100"
25-Jan-20,54.56,54.56,52.77,53.7,"2,938,756,558","3,433,273,431"
24-Jan-20,54.64,55.42,51.36,54.53,"3,532,776,556","3,486,182,447"
23-Jan-20,58.35,58.48,53.39,54.63,"3,348,002,983","3,492,096,602"
22-Jan-20,57.64,58.99,57.32,58.35,"3,076,205,980","3,729,779,086"
21-Jan-20,57.23,57.96,56.27,57.65,"3,130,143,642","3,684,221,719"
20-Jan-20,57.78,58.09,56.23,57.2,"3,306,438,947","3,655,443,935"
19-Jan-20,59.45,61.79,56.18,57.8,"4,197,776,579","3,693,201,722"
18-Jan-20,61.3,62.17,58.53,59.41,"4,426,051,530","3,795,493,154"
17-Jan-20,57.64,62.89,56.9,61.49,"5,067,456,613","3,927,821,846"
16-Jan-20,58.05,58.3,55.15,57.62,"4,347,723,835","3,680,300,934"
15-Jan-20,58.39,59.92,56.17,58.05,"5,070,738,793","3,707,655,223"
14-Jan-20,49.7,59.88,49.69,58.48,"5,729,547,956","3,734,400,000"
13-Jan-20,51.12,51.39,48.93,49.73,"3,336,204,744","3,175,647,876"
12-Jan-20,49.32,51.3,49.01,51.08,"3,858,852,964","3,261,300,810"
11-Jan-20,48.63,51.33,48.09,49.26,"3,915,781,115","3,144,901,794"
10-Jan-20,45.21,49.17,44.03,48.73,"3,808,140,302","3,110,300,142"
9-Jan-20,45.62,45.78,44.31,45.22,"2,986,327,757","2,885,860,528"
8-Jan-20,46.45,48.2,44.63,45.65,"3,633,957,130","2,913,485,629"
7-Jan-20,45.84,46.86,44.72,46.42,"3,611,521,907","2,962,310,517"
6-Jan-20,43.6,45.96,43.49,45.82,"3,349,237,768","2,923,126,044"
5-Jan-20,43.29,44.73,43,43.55,"3,017,148,033","2,778,396,525"
4-Jan-20,42.38,43.34,41.93,43.33,"2,843,192,897","2,763,617,782"
3-Jan-20,39.86,42.45,39.45,42.42,"3,260,961,326","2,705,193,552"
2-Jan-20,42.02,42.13,39.68,39.82,"2,759,827,139","2,539,554,281"
1-Jan-20,41.33,42.29,41.29,42.02,"2,782,992,323","2,679,229,284"
31-Dec-19,42.77,43.06,41.17,41.34,"3,015,923,778","2,635,704,909"
30-Dec-19,43.75,44.6,42.43,42.75,"3,330,795,171","2,725,146,760"
